ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC70200303,0,0,0,0,0,0,31,16,41,20,20,39,3,28,35,3,3,7,5,0,11,0,0,0,0,0,3,3,12,12,67,81,150
ILOC70200304,3,0,3,4,0,3,9,9,22,0,0,3,3,9,8,0,7,8,0,0,0,0,0,3,0,5,4,3,3,3,29,32,67
ILOC70200305,0,3,7,0,0,0,36,18,55,9,13,23,0,7,8,9,18,19,0,7,7,0,0,0,0,0,0,0,0,0,55,67,118
ILOC70200306,0,0,3,3,0,4,26,11,39,4,6,10,0,12,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,38,43,74
ILOC70200401,8,0,14,3,3,6,15,22,34,15,17,28,3,3,3,4,10,8,0,3,3,0,0,0,0,3,0,7,6,14,53,59,117
ILOC70200402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,6
ILOC70200501,3,5,8,3,0,3,9,21,27,7,15,21,5,3,12,7,3,14,12,3,15,3,0,3,0,0,0,7,6,12,53,59,108
ILOC70200502,10,4,11,3,6,6,19,25,46,11,10,24,8,6,11,3,4,3,6,3,7,0,0,0,3,0,4,8,7,14,65,62,133
ILOC70200503,5,4,7,0,6,7,22,27,47,10,9,17,0,13,13,5,0,6,0,0,0,0,0,0,0,0,0,3,4,5,48,60,107
ILOC70200601,7,3,11,10,10,23,15,17,34,0,0,0,6,6,10,3,3,7,0,0,0,0,0,0,0,0,0,7,3,11,51,53,101
ILOC70200602,6,0,4,3,0,3,29,37,67,7,9,16,0,0,0,5,3,12,0,0,3,0,0,0,0,0,0,3,3,10,55,64,117
ILOC70200701,3,8,9,36,23,57,54,61,117,11,16,28,6,17,23,9,12,18,8,3,10,5,4,4,3,3,10,55,65,119,175,218,399
ILOC70200801,4,3,4,11,8,14,42,61,103,13,15,28,4,7,10,3,3,3,0,3,3,0,0,3,3,3,3,23,22,51,103,123,226
ILOC70200802,0,0,0,4,6,10,16,5,23,3,3,6,0,3,3,0,0,0,0,0,0,0,0,0,4,0,3,3,3,9,29,21,57
ILOC70200901,0,0,0,8,10,18,5,5,8,7,4,12,0,3,4,4,5,5,0,5,3,0,0,0,0,0,0,22,27,47,49,53,101
ILOC70200902,16,3,17,11,9,19,22,21,49,0,12,9,12,20,28,16,23,41,33,29,62,9,7,20,25,17,40,24,42,64,177,180,352
ILOC70201001,3,3,7,0,3,3,32,30,56,10,24,32,3,11,10,0,11,7,0,4,4,0,0,0,0,3,3,3,3,3,53,87,139
ILOC70201002,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,8,4,10
ILOC70201101,7,3,17,10,26,38,37,72,108,6,9,18,4,3,6,9,3,15,0,0,0,0,0,3,4,0,3,22,22,40,100,140,239
ILOC70201102,0,0,3,4,9,12,8,9,18,0,0,0,0,0,0,3,0,4,0,3,4,0,0,0,0,0,0,3,6,10,21,31,46
ILOC70201201,0,0,0,0,0,0,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14,14,16,24
ILOC70201202,0,0,0,11,12,17,14,17,23,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,45
ILOC70201203,3,0,4,7,0,7,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,22,22,23,45
ILOC70201204,0,3,4,8,10,19,69,95,173,4,8,10,4,0,7,6,9,14,4,0,3,0,0,0,3,0,3,11,8,19,114,136,248
ILOC70201301,4,5,8,46,63,106,37,43,76,5,8,12,0,3,3,3,3,7,0,0,0,0,0,0,0,5,5,16,32,54,112,163,270
ILOC70201302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70201401,4,0,7,7,6,10,22,32,51,3,5,9,3,0,3,3,0,3,0,4,4,0,0,0,0,0,3,22,33,58,64,81,145
ILOC70201402,3,3,5,9,3,7,28,37,62,0,3,8,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,46,37,87,94,89,182
