ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC20201001,604,14053,14659,251,4179,4430,37,689,733,890,18921,19817
ILOC20201101,134,10113,10246,25,2553,2572,6,390,399,167,13052,13217
ILOC20201102,101,8400,8504,27,2025,2056,3,317,319,138,10740,10879
ILOC20201201,311,25081,25390,69,5086,5152,16,800,817,390,30971,31363
ILOC20201202,3,0,3,0,0,0,0,0,0,6,0,6
ILOC20201203,145,9478,9631,48,2840,2889,5,381,390,199,12704,12906
ILOC20201301,67,2379,2445,28,823,852,3,117,122,96,3320,3416
ILOC20201302,92,3109,3197,37,849,886,5,136,135,134,4089,4220
ILOC20201303,91,4695,4782,28,1366,1391,10,167,176,127,6225,6353
ILOC20201401,113,2535,2647,33,840,876,15,135,147,160,3506,3667
ILOC20201402,47,648,695,42,300,348,12,61,70,102,1012,1111
ILOC20201403,63,1722,1782,12,557,570,3,67,70,78,2341,2422
ILOC20201501,58,2782,2837,26,946,970,4,140,141,88,3861,3945
ILOC20201502,168,10855,11031,53,2728,2781,3,536,540,223,14119,14350
ILOC20201601,249,11047,11298,45,1991,2036,15,350,369,306,13392,13701
ILOC20201701,206,9745,9954,50,2366,2420,14,369,379,268,12485,12751
ILOC20201801,236,13622,13859,86,4478,4563,19,547,573,344,18647,18991
ILOC20201901,139,10158,10300,47,2399,2449,12,375,382,202,12930,13136
ILOC20201902,143,8155,8298,46,2270,2314,4,357,360,198,10779,10980
ILOC20201903,346,11257,11606,78,2211,2287,23,347,367,448,13815,14260
ILOC29499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC29799797,0,0,0,0,0,0,0,0,0,0,0,0
ILOC30100101,391,10932,11327,117,2254,2369,20,333,349,527,13515,14043
ILOC30100201,605,34019,34622,85,3461,3546,22,804,824,715,38287,38999
ILOC30100202,370,26012,26387,71,2343,2411,24,848,876,461,29201,29666
ILOC30100203,1006,61693,62699,174,5939,6116,52,1634,1686,1230,69261,70496
ILOC30100204,183,13087,13266,54,1445,1499,9,442,448,250,14963,15219
ILOC30100205,464,27790,28258,90,3168,3265,28,697,723,587,31661,32245
ILOC30100206,714,23358,24071,135,2792,2928,39,731,774,891,26875,27771
ILOC30100207,1711,64303,66011,276,8414,8684,74,1651,1724,2059,74361,76425
ILOC30100208,976,54891,55873,161,5605,5767,44,1701,1743,1180,62198,63384
ILOC30100209,426,31416,31842,57,2188,2245,14,537,553,501,34148,34643
ILOC30100210,214,3691,3906,150,1260,1411,16,235,254,386,5189,5572
ILOC30100211,255,8510,8757,49,776,823,8,222,222,308,9502,9807
ILOC30100301,2345,46627,48976,463,7982,8446,103,1421,1530,2916,56032,58952
ILOC30100401,901,34915,35820,156,5353,5509,32,881,915,1090,41151,42248
ILOC30100501,309,6273,6588,79,1654,1735,18,238,260,413,8165,8578
ILOC30100601,207,4717,4928,47,1158,1207,11,200,207,265,6075,6339
ILOC30100602,293,4753,5044,79,1136,1212,13,271,280,383,6151,6539
ILOC30100701,3966,166287,170250,560,22250,22814,171,5432,5599,4699,193973,198668
